YYYY MM CHAOPHRAYA    MUN
2003  1 0.0000000E+00 3.8243934E-08
2003  2 4.5434248E-07 2.3795183E-07
2003  3 5.2835508E-07 2.0178881E-07
2003  4 5.3995388E-07 3.7567098E-07
2003  5 8.5553422E-07 1.0781935E-06
2003  6 1.5849634E-06 1.6584339E-06
2003  7 1.7671241E-06 1.2593455E-06
2003  8 2.0445417E-06 2.2431039E-06
2003  9 2.3772725E-06 1.8360373E-06
2003 10 1.2308870E-06 1.0740195E-06
2003 11 5.9624647E-08 1.1190790E-07
2003 12 2.7165314E-19 2.2020160E-08
2004  1 3.2476291E-07 8.9644661E-08
2004  2 8.0728545E-07 4.4504869E-07
2004  3 6.2226212E-08 2.0958843E-07
2004  4 3.5777154E-07 5.0526394E-07
2004  5 6.5785304E-07 1.5385837E-06
2004  6 1.6874199E-06 1.8957755E-06
2004  7 1.7739661E-06 1.5101401E-06
2004  8 1.9365248E-06 1.6809133E-06
2004  9 2.5855316E-06 1.3536211E-06
2004 10 5.2553778E-07 5.4230432E-07
2004 11 1.2834691E-07 1.2665043E-07
2004 12 0.0000000E+00 1.2693165E-08
2005  1 4.3558344E-08 3.1738227E-08
2005  2 7.4338460E-08 1.5378857E-07
2005  3 5.5615988E-07 2.0907969E-07
2005  4 3.2108584E-07 5.2576393E-07
2005  5 1.1570613E-06 1.1770495E-06
2005  6 1.7957292E-06 1.7544656E-06
2005  7 1.7235226E-06 1.6056800E-06
2005  8 2.2756089E-06 1.5504369E-06
2005  9 3.0960620E-06 1.7470066E-06
2005 10 1.6673519E-06 1.2836010E-06
2005 11 5.2825218E-07 2.8470463E-07
2005 12 1.8126763E-07 3.0095725E-08
2006  1 0.0000000E+00 2.3472093E-08
2006  2 1.9197215E-07 2.0504333E-07
2006  3 2.3088805E-07 2.2752026E-07
2006  4 5.7108261E-07 5.4046405E-07
2006  5 1.0671993E-06 9.1072686E-07
2006  6 2.0574905E-06 1.5591193E-06
2006  7 1.3978365E-06 1.7322666E-06
2006  8 1.7942039E-06 2.3327135E-06
2006  9 2.7162799E-06 1.5530743E-06
2006 10 2.2253777E-06 1.2128245E-06
2006 11 1.9698218E-07 2.1057977E-07
2006 12 0.0000000E+00 3.4274059E-08
2007  1 5.5634063E-08 4.5669604E-08
2007  2 2.5704612E-08 1.1757011E-07
2007  3 6.8325269E-07 3.4827604E-07
2007  4 7.3214145E-07 6.0109674E-07
2007  5 1.3148941E-06 1.3943525E-06
2007  6 1.1912898E-06 1.0436701E-06
2007  7 1.9528885E-06 1.5241289E-06
2007  8 1.7628019E-06 2.2521330E-06
2007  9 2.3913539E-06 1.3683082E-06
2007 10 1.9165330E-06 1.7141589E-06
2007 11 3.3556636E-08 2.6364496E-07
2007 12 0.0000000E+00 6.9643831E-09
2008  1 2.1829374E-07 5.2052474E-08
2008  2 4.1392371E-07 2.6023914E-07
2008  3 4.4180947E-07 1.9022153E-07
2008  4 4.9264511E-07 3.9644953E-07
2008  5 1.0965644E-06 1.4645048E-06
2008  6 1.0936959E-06 1.5817489E-06
2008  7 1.5973637E-06 8.3528968E-07
2008  8 2.0592165E-06 1.9003647E-06
2008  9 3.1148526E-06 1.8099261E-06
2008 10 2.3596106E-06 1.3418354E-06
2008 11 4.1387057E-08 1.9254524E-07
2008 12 0.0000000E+00 1.9149837E-08
2009  1 0.0000000E+00 1.6232923E-09
2009  2 1.4006557E-07 1.0665635E-07
2009  3 4.5263915E-07 5.1053220E-07
2009  4 3.5730444E-07 9.9523681E-07
2009  5 1.4349740E-06 1.1361494E-06
2009  6 1.1836826E-06 1.5496442E-06
2009  7 1.6141441E-06 1.5442345E-06
2009  8 2.5319574E-06 2.4563068E-06
2009  9 2.6325049E-06 1.5095582E-06
2009 10 2.1410543E-06 1.1107386E-06
2009 11 1.1583444E-07 1.7908904E-07
2009 12 1.5798312E-09 4.3978816E-08
2010  1 3.2562574E-07 3.9872583E-08
2010  2 2.2133837E-07 2.3333501E-07
2010  3 2.4890483E-08 2.5818695E-07
2010  4 6.2767086E-07 5.2096019E-07
2010  5 7.1685951E-07 1.1091443E-06
2010  6 1.3878597E-06 1.7906165E-06
2010  7 1.5368366E-06 1.2515385E-06
2010  8 2.1864392E-06 2.4214937E-06
2010  9 2.3897017E-06 1.4288693E-06
2010 10 2.0891177E-06 1.4541922E-06
2010 11 1.0239683E-07 1.7109953E-07
2010 12 4.0548111E-07 3.8183781E-08
2011  1 7.8749629E-09 8.7674315E-09
2011  2 4.3641077E-07 3.9779206E-08
2011  3 3.4404111E-07 3.9687308E-07
2011  4 8.7176597E-07 5.6172177E-07
2011  5 1.1864375E-06 1.2941043E-06
2011  6 1.3888667E-06 1.6074302E-06
2011  7 1.6521214E-06 1.3279218E-06
2011  8 1.9525110E-06 2.2195597E-06
2011  9 2.4008919E-06 1.6844065E-06
2011 10 1.7386484E-06 1.3585917E-06
2011 11 2.9495370E-08 1.4178767E-07
2011 12 4.8752084E-08 9.7435127E-09
2012  1 4.5001746E-07 1.4818171E-07
2012  2 2.1509145E-07 5.5873978E-08
2012  3 1.8630884E-07 3.1615630E-07
2012  4 1.6994991E-07 4.2572940E-07
2012  5 1.1090708E-06 1.2053457E-06
2012  6 1.2584029E-06 1.4301247E-06
2012  7 1.6810374E-06 1.3633081E-06
2012  8 2.0529394E-06 2.0560462E-06
2012  9 2.5077725E-06 1.7390132E-06
2012 10 1.5441733E-06 9.7836172E-07
2012 11 2.3697661E-07 3.3895887E-07
2012 12 2.4419191E-08 1.3349857E-08
