YYYY MM CHAOPHRAYA    MUN
2003  1 1.2904912E-05 6.7688469E-06
2003  2 1.4129962E-05 8.9793757E-06
2003  3 1.9718269E-05 1.1937244E-05
2003  4 2.4518925E-05 2.2458578E-05
2003  5 2.6617800E-05 3.8333402E-05
2003  6 4.8049009E-05 5.3735847E-05
2003  7 4.5914046E-05 4.7157231E-05
2003  8 5.2114568E-05 5.5229294E-05
2003  9 4.9712085E-05 4.8817037E-05
2003 10 4.0300693E-05 3.8684748E-05
2003 11 1.4771533E-05 1.2755430E-05
2003 12 7.2150323E-06 5.9756612E-06
2004  1 6.9803486E-06 4.9992191E-06
2004  2 1.3528059E-05 1.8899500E-05
2004  3 3.7380416E-06 1.1254677E-05
2004  4 1.6563126E-05 2.5437311E-05
2004  5 2.2914021E-05 4.8247951E-05
2004  6 3.9798119E-05 5.5809854E-05
2004  7 4.6351273E-05 5.0523125E-05
2004  8 5.2954486E-05 5.0934540E-05
2004  9 5.2546496E-05 4.9380997E-05
2004 10 2.5602664E-05 2.1256678E-05
2004 11 1.3533600E-05 1.1823324E-05
2004 12 8.0351313E-06 5.5681830E-06
2005  1 4.4350327E-06 4.5165922E-06
2005  2 3.9942031E-06 4.4445656E-06
2005  3 2.5620460E-05 8.7080903E-06
2005  4 2.3901043E-05 1.9320459E-05
2005  5 2.9875308E-05 4.2809966E-05
2005  6 3.6782809E-05 4.3679588E-05
2005  7 4.8730450E-05 5.0344377E-05
2005  8 5.2384623E-05 4.9322035E-05
2005  9 4.9163000E-05 4.5724945E-05
2005 10 5.0598993E-05 3.5351960E-05
2005 11 2.3824423E-05 2.1917974E-05
2005 12 1.7087837E-05 1.0765981E-05
2006  1 1.0288227E-05 7.4729217E-06
2006  2 1.8321502E-05 7.8890933E-06
2006  3 1.6100747E-05 1.3161961E-05
2006  4 2.7888616E-05 3.8226944E-05
2006  5 4.3634498E-05 4.3196512E-05
2006  6 5.3813312E-05 3.9799346E-05
2006  7 4.4478948E-05 4.3515598E-05
2006  8 4.1886323E-05 4.5595076E-05
2006  9 5.0829737E-05 5.0148597E-05
2006 10 5.6195271E-05 4.9339760E-05
2006 11 1.9853669E-05 1.5606351E-05
2006 12 1.2841758E-05 7.7702282E-06
2007  1 9.7719954E-06 6.0634668E-06
2007  2 5.9795047E-06 5.3373840E-06
2007  3 1.1942898E-05 9.4617268E-06
2007  4 3.3115763E-05 1.8963547E-05
2007  5 6.3819939E-05 5.4823967E-05
2007  6 5.4670652E-05 4.6266634E-05
2007  7 5.5642761E-05 5.0842616E-05
2007  8 4.6223454E-05 5.6090282E-05
2007  9 5.2801771E-05 4.6981193E-05
2007 10 5.0760209E-05 4.9751203E-05
2007 11 1.8168010E-05 2.2940720E-05
2007 12 1.1126160E-05 1.0145547E-05
2008  1 1.3922799E-05 8.1630324E-06
2008  2 1.3415660E-05 7.2851710E-06
2008  3 1.0138551E-05 1.4070167E-05
2008  4 3.3768882E-05 2.0121247E-05
2008  5 4.5408055E-05 5.2353867E-05
2008  6 4.2341629E-05 4.9934191E-05
2008  7 3.9981087E-05 3.9953488E-05
2008  8 5.5678052E-05 5.2638083E-05
2008  9 5.3810640E-05 5.2512433E-05
2008 10 5.2604664E-05 4.8046101E-05
2008 11 2.0566680E-05 1.9093805E-05
2008 12 1.3940602E-05 1.2655142E-05
2009  1 7.8296791E-06 7.5036696E-06
2009  2 5.2399907E-06 6.1016630E-06
2009  3 1.8758237E-05 2.1525612E-05
2009  4 2.5119032E-05 4.5359701E-05
2009  5 4.3133515E-05 4.3205748E-05
2009  6 5.3431712E-05 5.1887911E-05
2009  7 5.2764633E-05 5.2919508E-05
2009  8 5.9752516E-05 5.6410377E-05
2009  9 5.5812900E-05 5.2835123E-05
2009 10 4.8922114E-05 4.1015602E-05
2009 11 2.0956286E-05 1.5063131E-05
2009 12 1.0329608E-05 8.3011840E-06
2010  1 1.0632036E-05 6.1186262E-06
2010  2 5.9971048E-06 8.6294291E-06
2010  3 5.5008734E-06 1.0570294E-05
2010  4 1.0232179E-05 1.7253722E-05
2010  5 2.5681587E-05 3.3588051E-05
2010  6 5.9907293E-05 4.5083858E-05
2010  7 5.0282056E-05 4.5679828E-05
2010  8 5.2684273E-05 5.0504243E-05
2010  9 4.8269652E-05 5.0083487E-05
2010 10 5.0705251E-05 4.6069901E-05
2010 11 1.7769567E-05 1.4946843E-05
2010 12 1.7661834E-05 9.7553807E-06
2011  1 6.9738132E-06 5.8630248E-06
2011  2 1.5225156E-05 4.6849274E-06
2011  3 2.0991873E-05 9.4670552E-06
2011  4 4.5325959E-05 3.2852446E-05
2011  5 5.7532319E-05 4.7558627E-05
2011  6 4.9563561E-05 4.1655908E-05
2011  7 5.1203001E-05 5.6300837E-05
2011  8 5.1299460E-05 5.0944402E-05
2011  9 5.0307114E-05 5.0381374E-05
2011 10 4.8496952E-05 4.8598601E-05
2011 11 1.6855124E-05 1.6944650E-05
2011 12 9.3367230E-06 7.5728632E-06
2012  1 8.9728516E-06 5.8918962E-06
2012  2 7.6653610E-06 4.0113103E-06
2012  3 1.1978083E-05 1.2492139E-05
2012  4 1.2940887E-05 2.5081662E-05
2012  5 3.9712572E-05 4.0923178E-05
2012  6 3.9741909E-05 4.2050073E-05
2012  7 3.9736607E-05 4.1153892E-05
2012  8 4.1159528E-05 4.7090081E-05
2012  9 4.9581750E-05 4.7353477E-05
2012 10 5.1634206E-05 3.7298034E-05
2012 11 1.8394909E-05 2.0424413E-05
2012 12 1.5202709E-05 1.0267316E-05
