YYYY MM CHAOPHRA  MUN
2003  1 0.4257710 0.3871839
2003  2 0.4251888 0.3865596
2003  3 0.4244977 0.3858303
2003  4 0.4237257 0.3850391
2003  5 0.4229594 0.3842337
2003  6 0.4222015 0.3834304
2003  7 0.4214166 0.3825931
2003  8 0.4208547 0.3821021
2003  9 0.4208147 0.3827818
2003 10 0.4208204 0.3840950
2003 11 0.4207344 0.3845263
2003 12 0.4204120 0.3842760
2004  1 0.4199456 0.3837371
2004  2 0.4194230 0.3831000
2004  3 0.4188715 0.3824327
2004  4 0.4182993 0.3817622
2004  5 0.4177459 0.3811440
2004  6 0.4173092 0.3804917
2004  7 0.4168569 0.3798812
2004  8 0.4164914 0.3799368
2004  9 0.4164182 0.3811376
2004 10 0.4167532 0.3819070
2004 11 0.4169744 0.3820506
2004 12 0.4168616 0.3817760
2005  1 0.4165704 0.3812962
2005  2 0.4162037 0.3807519
2005  3 0.4157872 0.3801660
2005  4 0.4153378 0.3795457
2005  5 0.4148564 0.3789527
2005  6 0.4143714 0.3784206
2005  7 0.4138742 0.3778611
2005  8 0.4134391 0.3776685
2005  9 0.4132969 0.3783815
2005 10 0.4145573 0.3796508
2005 11 0.4155725 0.3803058
2005 12 0.4158851 0.3803723
2006  1 0.4158817 0.3801499
2006  2 0.4156968 0.3797703
2006  3 0.4153981 0.3792988
2006  4 0.4150337 0.3787734
2006  5 0.4146504 0.3782536
2006  6 0.4143038 0.3777454
2006  7 0.4141339 0.3772921
2006  8 0.4140830 0.3776773
2006  9 0.4139542 0.3789557
2006 10 0.4145948 0.3800870
2006 11 0.4160215 0.3813540
2006 12 0.4165409 0.3816077
2007  1 0.4165826 0.3813680
2007  2 0.4164038 0.3809355
2007  3 0.4161045 0.3804057
2007  4 0.4157376 0.3798149
2007  5 0.4153053 0.3792053
2007  6 0.4149309 0.3786224
2007  7 0.4147709 0.3782281
2007  8 0.4149531 0.3781735
2007  9 0.4149819 0.3789560
2007 10 0.4150092 0.3796174
2007 11 0.4153178 0.3802955
2007 12 0.4153737 0.3804882
2008  1 0.4152101 0.3803012
2008  2 0.4149287 0.3799241
2008  3 0.4145778 0.3794526
2008  4 0.4141901 0.3789409
2008  5 0.4137820 0.3784319
2008  6 0.4133786 0.3778986
2008  7 0.4130650 0.3773414
2008  8 0.4129618 0.3768129
2008  9 0.4135931 0.3766071
2008 10 0.4162571 0.3777415
2008 11 0.4181305 0.3786035
2008 12 0.4188102 0.3788781
2009  1 0.4188924 0.3788066
2009  2 0.4186921 0.3785485
2009  3 0.4183451 0.3781793
2009  4 0.4179176 0.3777295
2009  5 0.4174439 0.3772234
2009  6 0.4170829 0.3767031
2009  7 0.4170247 0.3762541
2009  8 0.4171611 0.3767118
2009  9 0.4179081 0.3779250
2009 10 0.4192097 0.3793687
2009 11 0.4204018 0.3804234
2009 12 0.4207310 0.3806085
2010  1 0.4205806 0.3803868
2010  2 0.4202223 0.3799912
2010  3 0.4197659 0.3795053
2010  4 0.4192436 0.3789647
2010  5 0.4186920 0.3784261
2010  6 0.4181043 0.3779335
2010  7 0.4175573 0.3774299
2010  8 0.4176145 0.3769159
2010  9 0.4181865 0.3766787
2010 10 0.4192101 0.3776540
2010 11 0.4204193 0.3792136
2010 12 0.4208278 0.3798244
2011  1 0.4206921 0.3798585
2011  2 0.4203388 0.3796301
2011  3 0.4198790 0.3792634
2011  4 0.4193277 0.3788192
2011  5 0.4186999 0.3783630
2011  6 0.4183710 0.3778731
2011  7 0.4187749 0.3773867
2011  8 0.4194216 0.3773410
2011  9 0.4207061 0.3789693
2011 10 0.4219736 0.3824484
2011 11 0.4225025 0.3854343
2011 12 0.4225130 0.3861721
2012  1 0.4221846 0.3859827
2012  2 0.4216984 0.3854601
2012  3 0.4211356 0.3847970
2012  4 0.4205244 0.3840740
2012  5 0.4198815 0.3833382
2012  6 0.4192044 0.3825732
2012  7 0.4185389 0.3818143
2012  8 0.4178844 0.3810543
2012  9 0.4174123 0.3805489
2012 10 0.4183430 0.3809915
2012 11 0.4188955 0.3812510
2012 12 0.4188087 0.3810774
