YYYY MM CHAOPHRAYA    MUN
2003  1 1.0566622E-05 5.8352718E-06
2003  2 5.9456529E-06 4.0303518E-06
2003  3 5.5381965E-06 4.8230462E-06
2003  4 8.7236283E-06 6.9393000E-06
2003  5 6.1416703E-06 8.3707940E-06
2003  6 6.7543010E-06 6.7960090E-06
2003  7 7.0611644E-06 7.9305132E-06
2003  8 5.2297406E-06 5.3201198E-06
2003  9 4.8692491E-06 5.1501449E-06
2003 10 1.0009056E-05 8.9186136E-06
2003 11 1.1876567E-05 9.8727404E-06
2003 12 7.0615956E-06 5.6473662E-06
2004  1 4.5266173E-06 3.5964540E-06
2004  2 5.4268350E-06 4.7232707E-06
2004  3 3.5673310E-06 4.5143463E-06
2004  4 3.7275423E-06 6.1131741E-06
2004  5 5.2255951E-06 7.1066801E-06
2004  6 6.5305768E-06 5.9477689E-06
2004  7 6.7872325E-06 6.3942959E-06
2004  8 5.8350964E-06 6.0874395E-06
2004  9 4.6453053E-06 6.9443497E-06
2004 10 1.3058060E-05 1.1482259E-05
2004 11 1.0569564E-05 8.2732324E-06
2004 12 7.7046355E-06 5.4570608E-06
2005  1 4.3893948E-06 3.8757392E-06
2005  2 3.8348785E-06 3.0877662E-06
2005  3 9.5131049E-06 3.0208851E-06
2005  4 9.3410054E-06 4.5881174E-06
2005  5 7.7637912E-06 6.9158554E-06
2005  6 5.9032715E-06 6.7853094E-06
2005  7 6.4800899E-06 6.1354521E-06
2005  8 4.2652146E-06 6.2266382E-06
2005  9 3.2598698E-06 5.3353488E-06
2005 10 7.1601007E-06 8.3463769E-06
2005 11 9.9502926E-06 8.9561891E-06
2005 12 1.0308882E-05 8.4651538E-06
2006  1 9.8580675E-06 6.9084750E-06
2006  2 8.3870034E-06 4.7357303E-06
2006  3 8.7979734E-06 4.9463415E-06
2006  4 8.6274482E-06 9.4864155E-06
2006  5 9.4028080E-06 9.3744908E-06
2006  6 6.5326816E-06 8.0496186E-06
2006  7 6.7437517E-06 5.5068926E-06
2006  8 5.6434248E-06 4.7013590E-06
2006  9 4.4622891E-06 6.8664570E-06
2006 10 5.6454771E-06 7.7392219E-06
2006 11 1.4140366E-05 1.0874796E-05
2006 12 1.0751388E-05 6.8563630E-06
2007  1 7.8185284E-06 5.6746909E-06
2007  2 5.3049615E-06 4.1892306E-06
2007  3 3.7170898E-06 3.4686340E-06
2007  4 8.0191407E-06 5.0455888E-06
2007  5 8.6790464E-06 7.8357825E-06
2007  6 1.0818202E-05 1.0279273E-05
2007  7 6.7893200E-06 6.8697107E-06
2007  8 7.1421343E-06 5.3088891E-06
2007  9 5.7507946E-06 7.5782568E-06
2007 10 6.9616495E-06 6.9062958E-06
2007 11 1.2367773E-05 1.0532784E-05
2007 12 1.0538622E-05 9.1990754E-06
2008  1 8.6324327E-06 6.1559254E-06
2008  2 6.6257714E-06 4.7434715E-06
2008  3 3.6911240E-06 5.8942167E-06
2008  4 9.6623018E-06 5.8113495E-06
2008  5 9.8303020E-06 7.7275811E-06
2008  6 9.0117145E-06 7.2824107E-06
2008  7 7.1654525E-06 8.1510452E-06
2008  8 5.4169573E-06 5.6396265E-06
2008  9 3.7223216E-06 6.0785236E-06
2008 10 5.3329046E-06 6.4516910E-06
2008 11 1.1900693E-05 9.7426451E-06
2008 12 1.1647017E-05 1.0046638E-05
2009  1 7.6833442E-06 7.2766340E-06
2009  2 4.9888336E-06 4.7544459E-06
2009  3 6.1341325E-06 5.1543122E-06
2009  4 1.1286116E-05 1.0583489E-05
2009  5 8.2171750E-06 9.1489460E-06
2009  6 8.5608954E-06 7.7344325E-06
2009  7 7.4623446E-06 7.3887735E-06
2009  8 5.3142308E-06 5.6317820E-06
2009  9 4.9268827E-06 7.0294625E-06
2009 10 5.5101516E-06 7.8271793E-06
2009 11 1.2986149E-05 1.0429271E-05
2009 12 9.3824729E-06 7.4532057E-06
2010  1 6.0488283E-06 4.7230850E-06
2010  2 5.5079475E-06 4.4224589E-06
2010  3 3.5167900E-06 4.0472428E-06
2010  4 3.5505152E-06 3.9530566E-06
2010  5 5.0986665E-06 6.7419534E-06
2010  6 8.2049048E-06 6.9062268E-06
2010  7 7.0614118E-06 7.5296293E-06
2010  8 5.2019856E-06 4.8132180E-06
2010  9 5.3384029E-06 6.8899806E-06
2010 10 5.7865027E-06 6.7082954E-06
2010 11 1.1720307E-05 9.6409863E-06
2010 12 9.8149525E-06 8.5488336E-06
2011  1 6.7412597E-06 5.6672801E-06
2011  2 6.0165403E-06 4.3402097E-06
2011  3 6.1571766E-06 3.7612334E-06
2011  4 1.1867534E-05 7.8154192E-06
2011  5 9.0311832E-06 8.1927133E-06
2011  6 7.6586785E-06 6.5599629E-06
2011  7 6.6700810E-06 6.8527682E-06
2011  8 5.1220379E-06 4.7971791E-06
2011  9 4.2473706E-06 5.6030631E-06
2011 10 5.9943032E-06 6.4849968E-06
2011 11 1.2445276E-05 1.0119695E-05
2011 12 8.0523700E-06 6.7766031E-06
2012  1 4.6875139E-06 3.9869106E-06
2012  2 5.0001286E-06 3.6712117E-06
2012  3 4.3841059E-06 4.4081769E-06
2012  4 4.6740720E-06 6.6841383E-06
2012  5 9.3274064E-06 7.2313119E-06
2012  6 8.6547773E-06 7.2245292E-06
2012  7 7.4436131E-06 7.2915320E-06
2012  8 5.9857205E-06 6.0996020E-06
2012  9 4.3911172E-06 5.5957177E-06
2012 10 7.5300264E-06 8.3711381E-06
2012 11 9.4656113E-06 8.1539558E-06
2012 12 1.0501500E-05 8.2051735E-06
