YYYY MM CHAOPHRAYA    MUN
2003  1 2.3382902E-06 8.9533120E-07
2003  2 7.7299667E-06 4.7110721E-06
2003  3 1.3651717E-05 6.9124089E-06
2003  4 1.5255343E-05 1.5143608E-05
2003  5 1.9620595E-05 2.8884414E-05
2003  6 3.9709744E-05 4.5281403E-05
2003  7 3.7085758E-05 3.7967373E-05
2003  8 4.4840285E-05 4.7666069E-05
2003  9 4.2465563E-05 4.1830854E-05
2003 10 2.9060750E-05 2.8692114E-05
2003 11 2.8353413E-06 2.7707813E-06
2003 12 1.5343661E-07 3.0627487E-07
2004  1 2.1289683E-06 1.3131204E-06
2004  2 7.2939386E-06 1.3731181E-05
2004  3 1.0848428E-07 6.5307419E-06
2004  4 1.2477812E-05 1.8818873E-05
2004  5 1.7030572E-05 3.9602687E-05
2004  6 3.1580122E-05 4.7966310E-05
2004  7 3.7790075E-05 4.2618689E-05
2004  8 4.5182864E-05 4.3166187E-05
2004  9 4.5315659E-05 4.1083027E-05
2004 10 1.2019067E-05 9.2321139E-06
2004 11 2.8356886E-06 3.4234409E-06
2004 12 3.3049582E-07 9.8429081E-08
2005  1 2.0796064E-09 6.0911472E-07
2005  2 8.4986131E-08 1.2030109E-06
2005  3 1.5551195E-05 5.4781256E-06
2005  4 1.4238951E-05 1.4206578E-05
2005  5 2.0954456E-05 3.4717060E-05
2005  6 2.9083808E-05 3.5139812E-05
2005  7 4.0526837E-05 4.2603245E-05
2005  8 4.5843799E-05 4.1544960E-05
2005  9 4.2807068E-05 3.8642589E-05
2005 10 4.1771540E-05 2.5721982E-05
2005 11 1.3345878E-05 1.2677080E-05
2005 12 6.5976876E-06 2.2707316E-06
2006  1 4.3015972E-07 5.4097472E-07
2006  2 9.7425265E-06 2.9483197E-06
2006  3 7.0718855E-06 7.9880997E-06
2006  4 1.8690085E-05 2.8200064E-05
2006  5 3.3164491E-05 3.2911294E-05
2006  6 4.5223140E-05 3.0190608E-05
2006  7 3.6337359E-05 3.6276439E-05
2006  8 3.4448694E-05 3.8561003E-05
2006  9 4.3651168E-05 4.1729066E-05
2006 10 4.8324415E-05 4.0387713E-05
2006 11 5.5163210E-06 4.5209745E-06
2006 12 2.0903702E-06 8.7959118E-07
2007  1 1.8978331E-06 3.4310621E-07
2007  2 6.4883849E-07 1.0305832E-06
2007  3 7.5425563E-06 5.6448167E-06
2007  4 2.4364482E-05 1.3316862E-05
2007  5 5.3825998E-05 4.5593832E-05
2007  6 4.2661159E-05 3.4943691E-05
2007  7 4.6900551E-05 4.2448777E-05
2007  8 3.7318518E-05 4.8529259E-05
2007  9 4.4659622E-05 3.8034628E-05
2007 10 4.1882026E-05 4.1130748E-05
2007 11 5.7666807E-06 1.2144291E-05
2007 12 5.8753751E-07 9.3950773E-07
2008  1 5.0720728E-06 1.9550544E-06
2008  2 6.3759649E-06 2.2814602E-06
2008  3 6.0056181E-06 7.9857287E-06
2008  4 2.3613934E-05 1.3913448E-05
2008  5 3.4481189E-05 4.3161781E-05
2008  6 3.2236220E-05 4.1070031E-05
2008  7 3.1218271E-05 3.0967153E-05
2008  8 4.8201878E-05 4.5098092E-05
2008  9 4.6973465E-05 4.4623984E-05
2008 10 4.4912149E-05 4.0252575E-05
2008 11 8.6246001E-06 9.1586150E-06
2008 12 2.2935845E-06 2.5893539E-06
2009  1 1.4633491E-07 2.2541224E-07
2009  2 1.1109159E-07 1.2405608E-06
2009  3 1.2171465E-05 1.5860767E-05
2009  4 1.3475612E-05 3.3780975E-05
2009  5 3.3481366E-05 3.2920653E-05
2009  6 4.3687134E-05 4.2603835E-05
2009  7 4.3688144E-05 4.3986501E-05
2009  8 5.1906328E-05 4.8322288E-05
2009  9 4.8253511E-05 4.4296102E-05
2009 10 4.1270910E-05 3.2077684E-05
2009 11 7.8543034E-06 4.4547709E-06
2009 12 9.4555573E-07 8.0399950E-07
2010  1 4.2575815E-06 1.3556687E-06
2010  2 2.6781892E-07 3.9736352E-06
2010  3 1.9591929E-06 6.2648647E-06
2010  4 6.0539926E-06 1.2779706E-05
2010  5 1.9866061E-05 2.5736954E-05
2010  6 5.0314527E-05 3.6387014E-05
2010  7 4.1683808E-05 3.6898660E-05
2010  8 4.5295848E-05 4.3269531E-05
2010  9 4.0541546E-05 4.1764637E-05
2010 10 4.2829631E-05 3.7907413E-05
2010 11 5.9468627E-06 5.1347571E-06
2010 12 7.4414007E-06 1.1683634E-06
2011  1 2.2467874E-07 1.8697727E-07
2011  2 8.7722046E-06 3.0493850E-07
2011  3 1.4490655E-05 5.3089487E-06
2011  4 3.2586659E-05 2.4475305E-05
2011  5 4.7314698E-05 3.8071810E-05
2011  6 4.0516016E-05 3.3488515E-05
2011  7 4.2880800E-05 4.8120147E-05
2011  8 4.4224911E-05 4.3927663E-05
2011  9 4.3658852E-05 4.3093905E-05
2011 10 4.0764000E-05 4.0755013E-05
2011 11 4.3803521E-06 6.6831675E-06
2011 12 1.2356008E-06 7.8651659E-07
2012  1 3.8353203E-06 1.7568039E-06
2012  2 2.4501409E-06 2.8422453E-07
2012  3 7.4076676E-06 7.7678055E-06
2012  4 8.0968655E-06 1.7971794E-05
2012  5 2.9276095E-05 3.2486521E-05
2012  6 2.9828729E-05 3.3395420E-05
2012  7 3.0611957E-05 3.2499052E-05
2012  8 3.3120867E-05 3.8934433E-05
2012  9 4.2682859E-05 4.0018747E-05
2012 10 4.2560008E-05 2.7948534E-05
2012 11 8.6923212E-06 1.1931499E-05
2012 12 4.6767900E-06 2.0487933E-06
