YYYY MM CHAOPHRA  MUN
2003  1 1.5584929 1.2807184
2003  2 1.5133277 1.2471150
2003  3 1.4949368 1.2279556
2003  4 1.4834197 1.2244991
2003  5 1.4724755 1.2456641
2003  6 1.5303081 1.3034345
2003  7 1.5760753 1.3543604
2003  8 1.6250358 1.4146240
2003  9 1.6625364 1.4715616
2003 10 1.6512024 1.4373262
2003 11 1.5722864 1.3380067
2003 12 1.5233331 1.2789384
2004  1 1.4970797 1.2441046
2004  2 1.4823447 1.2240910
2004  3 1.4666252 1.2077354
2004  4 1.4610466 1.2120601
2004  5 1.4733850 1.2523119
2004  6 1.5247582 1.3307378
2004  7 1.5811533 1.3945876
2004  8 1.6210753 1.4653596
2004  9 1.6621961 1.4623812
2004 10 1.6442329 1.3996209
2004 11 1.5684135 1.3185870
2004 12 1.5246418 1.2720984
2005  1 1.4987648 1.2421990
2005  2 1.4828555 1.2223074
2005  3 1.4910793 1.2076586
2005  4 1.4875129 1.2035632
2005  5 1.4880042 1.2257587
2005  6 1.5016515 1.2800334
2005  7 1.5585968 1.3263365
2005  8 1.6056290 1.4125555
2005  9 1.7124565 1.4590282
2005 10 1.7172282 1.4459711
2005 11 1.6487638 1.3815853
2005 12 1.5927141 1.3300072
2006  1 1.5383407 1.2789057
2006  2 1.5184367 1.2484442
2006  3 1.5011622 1.2370810
2006  4 1.5073931 1.2671618
2006  5 1.5751061 1.2871406
2006  6 1.6133301 1.2871703
2006  7 1.6221649 1.3758878
2006  8 1.6063977 1.4341193
2006  9 1.6634191 1.4420440
2006 10 1.7508695 1.5075017
2006 11 1.6631132 1.4019802
2006 12 1.5853838 1.3241510
2007  1 1.5369415 1.2763075
2007  2 1.5070922 1.2456363
2007  3 1.4900193 1.2269670
2007  4 1.5009301 1.2198825
2007  5 1.5894932 1.2882179
2007  6 1.5965092 1.3266720
2007  7 1.6378007 1.3882087
2007  8 1.6255963 1.4370542
2007  9 1.6321311 1.4489731
2007 10 1.6789591 1.4706208
2007 11 1.6158418 1.4110106
2007 12 1.5532459 1.3307285
2008  1 1.5179503 1.2815241
2008  2 1.4962780 1.2514382
2008  3 1.4774630 1.2366653
2008  4 1.5067719 1.2298098
2008  5 1.5574755 1.2740634
2008  6 1.5792319 1.3035592
2008  7 1.5866672 1.3310045
2008  8 1.6685252 1.3635101
2008  9 1.7618810 1.4759711
2008 10 1.7832515 1.4779624
2008 11 1.6915493 1.4057047
2008 12 1.5985494 1.3399730
2009  1 1.5435603 1.2883079
2009  2 1.5131444 1.2571448
2009  3 1.4960625 1.2430062
2009  4 1.5145573 1.2755508
2009  5 1.5628016 1.2996883
2009  6 1.6424388 1.3377770
2009  7 1.6522238 1.3951331
2009  8 1.6909359 1.4568162
2009  9 1.7336994 1.4665283
2009 10 1.7639473 1.4874804
2009 11 1.6588515 1.3863406
2009 12 1.5763327 1.3156604
2010  1 1.5329763 1.2734683
2010  2 1.5039444 1.2467348
2010  3 1.4823932 1.2260246
2010  4 1.4713292 1.2159681
2010  5 1.4737560 1.2306537
2010  6 1.5243084 1.2431677
2010  7 1.5818197 1.2911439
2010  8 1.6504812 1.3538503
2010  9 1.7220871 1.4486090
2010 10 1.7534459 1.5134090
2010 11 1.6766236 1.4259698
2010 12 1.5884274 1.3441980
2011  1 1.5353411 1.2927177
2011  2 1.5067999 1.2612060
2011  3 1.5026764 1.2395565
2011  4 1.5520653 1.2568640
2011  5 1.6161597 1.3095794
2011  6 1.6628744 1.3261812
2011  7 1.6676406 1.3873849
2011  8 1.7525401 1.4877127
2011  9 1.7715736 1.5508349
2011 10 1.7266011 1.5695853
2011 11 1.6379164 1.4460147
2011 12 1.5623523 1.3406331
2012  1 1.5225982 1.2845359
2012  2 1.4973457 1.2479593
2012  3 1.4807863 1.2274737
2012  4 1.4775592 1.2309593
2012  5 1.5151956 1.2605143
2012  6 1.5363201 1.2818464
2012  7 1.5351188 1.2906225
2012  8 1.5527702 1.3136159
2012  9 1.6612301 1.4226709
2012 10 1.6912082 1.4148815
2012 11 1.6265224 1.3618716
2012 12 1.5883683 1.3106844
