YYYY MM CHAOPHRAYA    MUN
2003  1 1.8514849E-05 1.7554086E-05
2003  2 1.4525580E-05 1.4919435E-05
2003  3 1.2788627E-05 1.3296281E-05
2003  4 1.1501351E-05 1.2451227E-05
2003  5 1.0314308E-05 1.2629026E-05
2003  6 1.2500042E-05 1.4661048E-05
2003  7 1.4250298E-05 1.6859005E-05
2003  8 1.8118949E-05 2.1454104E-05
2003  9 2.0917004E-05 2.9702577E-05
2003 10 1.8640806E-05 2.7816868E-05
2003 11 1.3109340E-05 1.9264492E-05
2003 12 1.0394633E-05 1.5184476E-05
2004  1 9.0085956E-06 1.2852680E-05
2004  2 8.1676781E-06 1.1412637E-05
2004  3 7.3068647E-06 1.0304074E-05
2004  4 6.8709326E-06 9.9389175E-06
2004  5 6.9994554E-06 1.0849610E-05
2004  6 8.3749071E-06 1.3725107E-05
2004  7 1.0201790E-05 1.6641177E-05
2004  8 1.2009670E-05 2.3984498E-05
2004  9 1.4179357E-05 2.6264449E-05
2004 10 1.3171550E-05 2.0900150E-05
2004 11 9.6607768E-06 1.5449556E-05
2004 12 7.9858710E-06 1.2756383E-05
2005  1 7.0355703E-06 1.1052778E-05
2005  2 6.4075090E-06 9.8799355E-06
2005  3 6.3420202E-06 8.9927141E-06
2005  4 6.1548471E-06 8.4654972E-06
2005  5 6.0739918E-06 8.7696818E-06
2005  6 6.2107236E-06 1.0186094E-05
2005  7 7.4443375E-06 1.1832231E-05
2005  8 8.5992405E-06 1.7935506E-05
2005  9 1.3109327E-05 2.2275610E-05
2005 10 1.5188666E-05 2.1676259E-05
2005 11 1.2465744E-05 1.7172870E-05
2005 12 1.0091425E-05 1.4114928E-05
2006  1 7.9451202E-06 1.1603469E-05
2006  2 7.1510898E-06 1.0168316E-05
2006  3 6.5328557E-06 9.4336188E-06
2006  4 6.5167324E-06 1.0021985E-05
2006  5 8.1878939E-06 1.0377519E-05
2006  6 9.5172836E-06 1.0078110E-05
2006  7 9.9766154E-06 1.5499381E-05
2006  8 9.1712488E-06 2.2603871E-05
2006  9 1.1501261E-05 2.5083797E-05
2006 10 1.7509462E-05 3.0163109E-05
2006 11 1.3496664E-05 2.1023059E-05
2006 12 1.0045192E-05 1.5760070E-05
2007  1 8.2493226E-06 1.2949050E-05
2007  2 7.2078803E-06 1.1207027E-05
2007  3 6.5661729E-06 1.0044057E-05
2007  4 6.7207824E-06 9.3276414E-06
2007  5 9.4461970E-06 1.1438279E-05
2007  6 9.5645842E-06 1.2387328E-05
2007  7 1.2135882E-05 1.5451597E-05
2007  8 1.1936822E-05 1.9899368E-05
2007  9 1.2026618E-05 2.2169171E-05
2007 10 1.4317240E-05 2.3546365E-05
2007 11 1.0969556E-05 1.9539046E-05
2007 12 8.3375437E-06 1.4559736E-05
2008  1 7.1195157E-06 1.1996932E-05
2008  2 6.3445238E-06 1.0486388E-05
2008  3 5.6906409E-06 9.6022415E-06
2008  4 6.1592201E-06 8.9362394E-06
2008  5 7.6395487E-06 1.0055466E-05
2008  6 8.1627718E-06 1.0761061E-05
2008  7 8.2978070E-06 1.1462041E-05
2008  8 1.1835488E-05 1.2479626E-05
2008  9 1.8535439E-05 1.8410384E-05
2008 10 2.2844497E-05 1.9647063E-05
2008 11 1.7701715E-05 1.5919074E-05
2008 12 1.2488226E-05 1.2745172E-05
2009  1 1.0038054E-05 1.0616274E-05
2009  2 8.7434188E-06 9.3925853E-06
2009  3 7.9324555E-06 8.7357409E-06
2009  4 8.4216456E-06 9.4586454E-06
2009  5 1.0336324E-05 9.9148176E-06
2009  6 1.3817695E-05 1.0994173E-05
2009  7 1.4591901E-05 1.3604478E-05
2009  8 1.8061615E-05 1.8566909E-05
2009  9 2.4335306E-05 2.1881605E-05
2009 10 2.8348082E-05 2.5172157E-05
2009 11 1.9052396E-05 1.8036899E-05
2009 12 1.3506874E-05 1.3976465E-05
2010  1 1.1064311E-05 1.1791880E-05
2010  2 9.5353125E-06 1.0401418E-05
2010  3 8.3957204E-06 9.3266494E-06
2010  4 7.6630895E-06 8.6573370E-06
2010  5 7.4666631E-06 8.7612304E-06
2010  6 9.2739452E-06 8.8069081E-06
2010  7 1.2401949E-05 1.0098458E-05
2010  8 1.9480243E-05 1.2451310E-05
2010  9 2.7206871E-05 1.7387407E-05
2010 10 2.9310307E-05 2.2445767E-05
2010 11 2.1045431E-05 1.7859066E-05
2010 12 1.4529479E-05 1.3722112E-05
2011  1 1.1430895E-05 1.1469490E-05
2011  2 9.8409202E-06 1.0124824E-05
2011  3 9.7866992E-06 9.1720111E-06
2011  4 1.1105125E-05 9.5078957E-06
2011  5 1.3831091E-05 1.0965927E-05
2011  6 1.8150181E-05 1.1364226E-05
2011  7 2.1618114E-05 1.3745845E-05
2011  8 3.0751491E-05 1.9872406E-05
2011  9 3.2760161E-05 2.8977415E-05
2011 10 2.8601945E-05 3.8902054E-05
2011 11 1.9978839E-05 2.9423991E-05
2011 12 1.4299873E-05 2.0857835E-05
2012  1 1.1793713E-05 1.6783742E-05
2012  2 1.0259729E-05 1.4240658E-05
2012  3 9.1629054E-06 1.2632861E-05
2012  4 8.6689691E-06 1.2104436E-05
2012  5 9.5437665E-06 1.2728239E-05
2012  6 9.8164517E-06 1.3080323E-05
2012  7 9.4140623E-06 1.2971504E-05
2012  8 9.6855372E-06 1.3778442E-05
2012  9 1.6100235E-05 2.0752283E-05
2012 10 2.0073024E-05 2.0361433E-05
2012 11 1.5055011E-05 1.6636129E-05
2012 12 1.2434518E-05 1.3626748E-05
