YYYY MM CHAOPHRAYA    MUN
2003  1 0.0000000E+00 5.8023044E-13
2003  2 1.2260636E-11 7.4278988E-12
2003  3 2.7444673E-11 1.4857208E-11
2003  4 1.4692450E-11 3.2762100E-11
2003  5 3.6100948E-11 5.5848360E-11
2003  6 8.1715591E-11 8.3435124E-11
2003  7 6.7258679E-11 7.4496477E-11
2003  8 8.2788686E-11 9.8164336E-11
2003  9 8.6886474E-11 1.0727529E-10
2003 10 2.7023306E-11 3.0852817E-11
2003 11 1.2634772E-13 1.2138691E-12
2003 12 0.0000000E+00 3.9750050E-14
2004  1 2.7218321E-12 1.3031401E-12
2004  2 1.0160148E-11 2.0249340E-11
2004  3 1.7672241E-13 5.9266170E-12
2004  4 1.7844612E-11 3.7003081E-11
2004  5 3.1687466E-11 7.6230275E-11
2004  6 6.5575956E-11 9.5860048E-11
2004  7 8.2435579E-11 9.2984420E-11
2004  8 5.6945340E-11 8.4449790E-11
2004  9 1.0159092E-10 8.3857505E-11
2004 10 2.8350152E-12 2.4769622E-12
2004 11 7.6674630E-13 2.9853607E-12
2004 12 0.0000000E+00 3.5654453E-15
2005  1 7.5915972E-14 9.5522352E-13
2005  2 2.7288377E-13 1.4457342E-12
2005  3 2.8625459E-11 6.7307750E-12
2005  4 2.9596449E-11 2.2344356E-11
2005  5 3.1375432E-11 6.7729063E-11
2005  6 5.4152469E-11 5.4212912E-11
2005  7 6.4669848E-11 9.3822676E-11
2005  8 7.9055176E-11 7.7373990E-11
2005  9 1.1381902E-10 1.1423078E-10
2005 10 3.9821255E-11 2.4487008E-11
2005 11 2.1598684E-11 2.7886026E-11
2005 12 4.9039032E-12 7.2158627E-13
2006  1 0.0000000E+00 1.7294628E-13
2006  2 2.0451335E-11 3.4253346E-12
2006  3 1.0536781E-11 1.9975149E-11
2006  4 4.6924092E-11 5.8228665E-11
2006  5 6.5313724E-11 5.4976541E-11
2006  6 8.1439973E-11 4.4955761E-11
2006  7 4.4244981E-11 1.0262896E-10
2006  8 4.6062167E-11 8.3375418E-11
2006  9 1.0118449E-10 8.5377340E-11
2006 10 8.0659510E-11 8.9195016E-11
2006 11 4.6534698E-12 2.0098543E-12
2006 12 0.0000000E+00 8.0191076E-15
2007  1 1.7140790E-12 2.3353666E-13
2007  2 3.7938793E-13 1.1476703E-12
2007  3 6.8137601E-12 7.9667721E-12
2007  4 5.1678093E-11 2.2448979E-11
2007  5 9.8496593E-11 1.0319707E-10
2007  6 6.5895574E-11 5.8248092E-11
2007  7 7.9316730E-11 8.3953788E-11
2007  8 4.0393231E-11 9.8657446E-11
2007  9 8.2576108E-11 6.4173633E-11
2007 10 6.5638288E-11 9.0440615E-11
2007 11 0.0000000E+00 4.7088073E-12
2007 12 0.0000000E+00 1.9008293E-14
2008  1 7.4803593E-12 1.9803094E-12
2008  2 9.3003159E-12 3.0020187E-12
2008  3 5.8455264E-12 1.3991023E-11
2008  4 6.5195203E-11 3.1271410E-11
2008  5 5.6469024E-11 7.6765015E-11
2008  6 5.4855843E-11 6.3438676E-11
2008  7 6.3942481E-11 5.0608941E-11
2008  8 7.8774945E-11 7.9284993E-11
2008  9 1.3788424E-10 1.2126063E-10
2008 10 7.2900821E-11 5.3071564E-11
2008 11 0.0000000E+00 1.1333618E-11
2008 12 0.0000000E+00 0.0000000E+00
2009  1 0.0000000E+00 0.0000000E+00
2009  2 3.6423335E-13 1.3365086E-12
2009  3 1.5698796E-11 2.9115605E-11
2009  4 3.5360915E-11 6.3289964E-11
2009  5 1.1035480E-10 6.2767973E-11
2009  6 5.3492436E-11 5.9953790E-11
2009  7 7.1124885E-11 1.0189214E-10
2009  8 9.5506567E-11 9.4786323E-11
2009  9 1.1103716E-10 1.1375136E-10
2009 10 6.9905741E-11 3.4923594E-11
2009 11 2.8228085E-12 2.4247017E-12
2009 12 0.0000000E+00 5.8302777E-14
2010  1 6.7383309E-12 1.6662240E-12
2010  2 2.3335741E-13 5.2246605E-12
2010  3 1.2669255E-12 7.6636160E-12
2010  4 8.3538358E-12 1.9016565E-11
2010  5 4.1133083E-11 4.6310812E-11
2010  6 8.2448171E-11 5.1766461E-11
2010  7 8.2206709E-11 7.9190781E-11
2010  8 9.5008848E-11 8.0808503E-11
2010  9 1.1016181E-10 1.1875761E-10
2010 10 8.2605503E-11 6.6498881E-11
2010 11 1.6922181E-12 4.9196489E-13
2010 12 5.5682345E-12 1.4363056E-13
2011  1 3.6927904E-14 1.3958661E-14
2011  2 1.0592028E-11 4.0413329E-13
2011  3 4.0023342E-11 6.3690091E-12
2011  4 7.0021919E-11 5.8707325E-11
2011  5 9.6897163E-11 6.6780824E-11
2011  6 6.4043933E-11 5.7541428E-11
2011  7 1.0058633E-10 1.0368727E-10
2011  8 1.0441812E-10 1.0636147E-10
2011  9 8.1107068E-11 1.1054201E-10
2011 10 6.2753649E-11 1.0095980E-10
2011 11 0.0000000E+00 2.6573187E-12
2011 12 9.0704248E-13 0.0000000E+00
2012  1 6.3226974E-12 2.5643559E-12
2012  2 3.0575814E-12 1.8013510E-13
2012  3 1.0193068E-11 1.2150975E-11
2012  4 3.0796023E-11 4.0333676E-11
2012  5 5.5123027E-11 6.1184149E-11
2012  6 3.7821262E-11 4.7616199E-11
2012  7 5.1649827E-11 5.3343757E-11
2012  8 4.4487933E-11 6.4399148E-11
2012  9 1.3059527E-10 1.1549477E-10
2012 10 5.4120245E-11 3.2611460E-11
2012 11 1.9162816E-11 2.2565681E-11
2012 12 5.8343178E-13 9.6111563E-15
